Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,41.193851,42.606998,40.967113,41.865791,41.865791,209558954
2020-01-02,41.906654,42.044888,40.175350,40.223259,40.223259,200098184
2020-01-03,40.190041,44.034237,40.180965,44.021961,44.021961,244420570
2020-01-04,43.981178,46.951759,43.172939,46.451866,46.451866,429327843
2020-01-05,46.426079,53.517296,46.426079,51.479233,51.479233,439864007
2020-01-06,51.536594,57.579594,51.221058,56.699776,56.699776,496237320
2020-01-07,56.702038,57.306259,54.052959,54.818928,54.818928,395124565
2020-01-08,54.801365,56.534046,51.724026,52.916855,52.916855,314320136
2020-01-09,52.883240,53.278660,50.498531,50.893806,50.893806,247077074
2020-01-10,50.894367,56.586277,50.258091,56.586277,56.586277,360608270
2020-01-11,56.603886,66.844124,55.809029,63.402321,63.402321,581950368
2020-01-12,63.529209,67.809486,62.529175,66.300369,66.300369,535827585
2020-01-13,66.245209,71.111450,64.152466,69.583115,69.583115,476814382
2020-01-14,69.605316,88.698433,69.582359,88.698433,88.698433,1090046613
2020-01-15,88.620216,140.702209,88.620216,132.272949,132.272949,2736888861
2020-01-16,132.402695,134.045044,113.616135,128.159943,128.159943,1925351036
2020-01-17,127.633621,127.688164,110.545532,114.382072,114.382072,1536993729
2020-01-18,114.129318,115.254257,97.517906,101.561043,101.561043,1315737751
2020-01-19,101.628777,108.444138,93.421555,104.794868,104.794868,1186646796
2020-01-20,104.798508,114.627953,100.882629,109.566650,109.566650,1208948881
2020-01-21,109.605728,113.657433,106.244865,110.861343,110.861343,964611063
2020-01-22,110.829102,112.540092,107.266449,107.646782,107.646782,824540369
2020-01-23,107.639877,108.152008,98.662567,102.409386,102.409386,837448530
2020-01-24,102.580978,103.801682,94.290657,100.826576,100.826576,829271731
2020-01-25,100.768150,103.491585,98.015984,102.155678,102.155678,684814780
2020-01-26,102.136742,112.466469,100.799934,111.004929,111.004929,1048666266
2020-01-27,111.007874,119.252991,111.007874,113.268311,113.268311,1185315336
2020-01-28,113.270981,117.110268,111.775131,116.204590,116.204590,1056404598
2020-01-29,116.176559,126.939384,115.546051,122.042648,122.042648,1310968165
2020-01-30,121.811523,124.862885,118.674591,122.472076,122.472076,1175856865
2020-01-31,122.549156,124.337471,114.621834,116.426071,116.426071,995498642
2020-02-01,116.524063,119.653084,115.928482,117.469658,117.469658,809915887
2020-02-02,117.435928,118.399559,114.590775,115.619484,115.619484,795391925
2020-02-03,115.596794,117.722916,115.138824,116.198067,116.198067,805030077
2020-02-04,116.197990,117.190536,109.693069,111.136070,111.136070,767274423
2020-02-05,111.143082,123.005135,110.575180,122.266022,122.266022,1040214025
2020-02-06,122.318497,123.911392,118.444824,119.768394,119.768394,1034128121
2020-02-07,119.796928,122.148193,117.902351,118.512657,118.512657,844151055
2020-02-08,118.581711,130.023758,114.457291,125.900993,125.900993,1229051151
2020-02-09,125.903564,129.094284,124.814034,127.551788,127.551788,953702544
2020-02-10,127.579750,128.038513,123.113388,127.345917,127.345917,912410981
2020-02-11,127.349823,130.438858,123.825752,128.886032,128.886032,880829792
2020-02-12,128.834473,136.014938,128.479797,133.549347,133.549347,984582476
2020-02-13,133.560806,136.649124,128.272675,130.949051,130.949051,1013736024
2020-02-14,131.009232,133.338760,128.599533,132.600204,132.600204,858271722
2020-02-15,132.613434,132.927002,119.153954,121.853302,121.853302,890484409
2020-02-16,121.896225,123.840042,104.857712,111.775650,111.775650,935525392
2020-02-17,111.469666,115.498451,103.001869,114.506218,114.506218,978398584
2020-02-18,114.446800,116.376724,108.314957,115.644241,115.644241,851870268
2020-02-19,115.564766,115.685722,106.483505,106.605545,106.605545,843777656
2020-02-20,106.433342,107.321739,101.906937,105.549805,105.549805,946434289
2020-02-21,105.342667,109.459892,104.264740,107.937546,107.937546,978201788
2020-02-22,107.957939,109.440918,103.864799,104.695908,104.695908,947030401
2020-02-23,104.590721,108.755409,104.303970,108.145134,108.145134,902539669
2020-02-24,108.170586,108.558052,101.398956,103.596947,103.596947,884387173
2020-02-25,103.615784,103.648033,95.804482,96.201248,96.201248,868833032
2020-02-26,96.197914,96.597870,80.843933,84.876045,84.876045,939230803
2020-02-27,84.871956,92.374908,80.168159,88.524345,88.524345,955652217
2020-02-28,88.793327,91.729599,84.329628,87.897408,87.897408,964429503
2020-02-29,87.887512,89.901001,85.892166,85.892166,85.892166,756043899
2020-03-01,85.772682,89.375572,83.729500,85.105598,85.105598,765429157
2020-03-02,85.111610,91.162613,84.514633,89.738174,89.738174,803239980
